fifa_version,short_name,player_positions,overall,pace,shooting,passing,dribbling,defending,physic,club_name,nationality_name
24.0,K. Mbappé,"ST, LW",91,97.0,90.0,80.0,92.0,36.0,78.0,Paris Saint Germain,France
24.0,E. Haaland,ST,91,89.0,93.0,66.0,80.0,45.0,88.0,Manchester City,Norway
24.0,K. De Bruyne,"CM, CAM",91,72.0,88.0,94.0,87.0,65.0,78.0,Manchester City,Belgium
24.0,L. Messi,"CF, CAM",90,80.0,87.0,90.0,94.0,33.0,64.0,Inter Miami,Argentina
24.0,K. Benzema,"CF, ST",90,79.0,88.0,83.0,87.0,39.0,78.0,Al Ittihad,France
24.0,R. Lewandowski,ST,90,75.0,91.0,80.0,87.0,44.0,84.0,FC Barcelona,Poland
24.0,T. Courtois,GK,90,,,,,,,Real Madrid,Belgium
24.0,H. Kane,ST,90,69.0,93.0,84.0,83.0,49.0,83.0,FC Bayern München,England
24.0,Vini Jr.,LW,89,95.0,82.0,78.0,90.0,29.0,68.0,Real Madrid,Brazil
24.0,Alisson,GK,89,,,,,,,Liverpool,Brazil
24.0,Rodri,"CDM, CM",89,58.0,73.0,80.0,80.0,85.0,84.0,Manchester City,Spain
24.0,Rúben Dias,CB,89,62.0,39.0,66.0,69.0,89.0,87.0,Manchester City,Portugal
24.0,Neymar Jr,LW,89,86.0,83.0,85.0,93.0,37.0,61.0,Al Hilal,Brazil
24.0,M. ter Stegen,GK,89,,,,,,,FC Barcelona,Germany
24.0,Casemiro,CDM,89,63.0,75.0,79.0,73.0,89.0,88.0,Manchester United,Brazil
24.0,V. van Dijk,CB,89,78.0,60.0,71.0,72.0,89.0,86.0,Liverpool,Netherlands
24.0,M. Salah,RW,89,89.0,87.0,81.0,88.0,45.0,76.0,Liverpool,Egypt
24.0,F. Valverde,"CM, RW",88,88.0,82.0,84.0,84.0,80.0,82.0,Real Madrid,Uruguay
24.0,V. Osimhen,ST,88,90.0,86.0,66.0,83.0,42.0,82.0,Napoli,Nigeria
24.0,Ederson,GK,88,,,,,,,Manchester City,Brazil
24.0,J. Kimmich,"CDM, RB, CM",88,70.0,74.0,88.0,84.0,82.0,79.0,FC Bayern München,Germany
24.0,A. Griezmann,"ST, CF",88,80.0,88.0,87.0,88.0,58.0,75.0,Atlético Madrid,France
24.0,J. Oblak,GK,88,,,,,,,Atlético Madrid,Slovenia
24.0,Bruno Fernandes,"CAM, CM",88,71.0,86.0,90.0,83.0,69.0,77.0,Manchester United,Portugal
24.0,Bernardo Silva,"CM, RW",88,69.0,78.0,86.0,92.0,70.0,69.0,Manchester City,Portugal
24.0,M. Ødegaard,"CAM, CM",87,72.0,81.0,88.0,87.0,61.0,64.0,Arsenal,Norway
24.0,F. de Jong,"CM, CDM",87,82.0,69.0,86.0,87.0,77.0,78.0,FC Barcelona,Netherlands
24.0,G. Donnarumma,GK,87,,,,,,,Paris Saint Germain,Italy
24.0,L. Martínez,ST,87,80.0,86.0,71.0,85.0,48.0,85.0,Inter,Argentina
24.0,G. Kobel,GK,87,,,,,,,Borussia Dortmund,Switzerland
24.0,M. Maignan,GK,87,,,,,,,Milan,France
24.0,Marquinhos,CB,87,78.0,56.0,75.0,74.0,89.0,80.0,Paris Saint Germain,Brazil
24.0,M. Neuer,GK,87,,,,,,,FC Bayern München,Germany
24.0,L. Modrić,CM,87,72.0,76.0,89.0,87.0,72.0,66.0,Real Madrid,Croatia
24.0,H. Son,LW,87,87.0,88.0,80.0,84.0,42.0,70.0,Tottenham Hotspur,Korea Republic
24.0,J. Musiala,"CAM, CM, LM",86,85.0,75.0,76.0,91.0,63.0,61.0,FC Bayern München,Germany
24.0,K. Kvaratskhelia,"LW, RW",86,84.0,80.0,81.0,87.0,41.0,71.0,Napoli,Georgia
24.0,Pedri,CM,86,78.0,69.0,82.0,88.0,70.0,74.0,FC Barcelona,Spain
24.0,Rafael Leão,"LW, CF, ST",86,93.0,80.0,75.0,87.0,27.0,76.0,Milan,Portugal
24.0,J. Bellingham,"CM, CAM",86,76.0,78.0,80.0,85.0,78.0,82.0,Real Madrid,England
24.0,R. Araujo,"CB, RB",86,79.0,51.0,65.0,62.0,86.0,84.0,FC Barcelona,Uruguay
24.0,B. Saka,"RW, RM",86,85.0,81.0,79.0,87.0,60.0,70.0,Arsenal,England
24.0,M. de Ligt,CB,86,66.0,61.0,64.0,68.0,85.0,86.0,FC Bayern München,Netherlands
24.0,Éder Militão,CB,86,85.0,50.0,69.0,71.0,86.0,82.0,Real Madrid,Brazil
24.0,S. Tonali,"CDM, CM",86,84.0,74.0,81.0,81.0,82.0,84.0,Newcastle United,Italy
24.0,N. Barella,CM,86,78.0,78.0,82.0,85.0,78.0,80.0,Inter,Italy
24.0,T. Alexander-Arnold,RB,86,76.0,69.0,90.0,79.0,80.0,73.0,Liverpool,England
24.0,C. Nkunku,"CF, CAM, ST",86,82.0,81.0,83.0,88.0,62.0,67.0,Chelsea,France
24.0,O. Dembélé,"RW, LW",86,93.0,77.0,81.0,87.0,36.0,57.0,Paris Saint Germain,France
24.0,Cristiano Ronaldo,ST,86,77.0,88.0,75.0,80.0,34.0,74.0,Al Nassr,Portugal
24.0,T. Kroos,"CM, CDM",86,51.0,80.0,90.0,81.0,70.0,71.0,Real Madrid,Germany
24.0,W. Szczęsny,GK,86,,,,,,,Juventus,Poland
24.0,İ. Gündoğan,"CM, CDM",86,62.0,81.0,84.0,86.0,72.0,73.0,FC Barcelona,Germany
24.0,Parejo,"CM, CDM",86,49.0,83.0,90.0,80.0,73.0,69.0,Villarreal,Spain
24.0,R. Mahrez,"RM, RW",86,79.0,81.0,81.0,89.0,38.0,60.0,Al Ahli Jeddah,Algeria
24.0,S. Mané,"CF, LM, ST",86,85.0,83.0,79.0,87.0,44.0,74.0,Al Nassr,Senegal
24.0,João Cancelo,"LB, RB",86,81.0,73.0,85.0,84.0,80.0,72.0,FC Barcelona,Portugal
24.0,P. Dybala,"CF, CAM",86,80.0,85.0,85.0,90.0,40.0,60.0,Roma,Argentina
24.0,N. Kanté,"CDM, CM",86,69.0,65.0,73.0,80.0,85.0,77.0,Al Ittihad,France
24.0,A. Robertson,LB,86,80.0,61.0,82.0,81.0,81.0,77.0,Liverpool,Scotland
24.0,S. Milinković-Savić,CM,86,68.0,80.0,82.0,82.0,79.0,86.0,Al Hilal,Serbia
24.0,Rodrygo,"RW, LW, ST",85,88.0,81.0,79.0,86.0,31.0,62.0,Real Madrid,Brazil
24.0,F. Wirtz,"CAM, CM",85,74.0,76.0,83.0,87.0,52.0,63.0,Bayer 04 Leverkusen,Germany
24.0,T. Hernández,"LB, LM",85,93.0,71.0,76.0,81.0,78.0,84.0,Milan,France
24.0,A. Bastoni,CB,85,73.0,35.0,72.0,73.0,86.0,83.0,Inter,Italy
24.0,P. Foden,"LW, RW",85,81.0,79.0,82.0,88.0,57.0,60.0,Manchester City,England
24.0,J. Koundé,"CB, RB",85,84.0,45.0,68.0,75.0,86.0,80.0,FC Barcelona,France
24.0,M. Rashford,"LW, LM, ST",85,90.0,86.0,78.0,84.0,42.0,74.0,Manchester United,England
24.0,Diogo Jota,"CF, LW",85,82.0,82.0,75.0,85.0,57.0,77.0,Liverpool,Portugal
24.0,D. Rice,"CDM, CM",85,71.0,65.0,75.0,77.0,83.0,83.0,Arsenal,England
24.0,J. Stones,"CB, RB",85,72.0,52.0,75.0,77.0,85.0,77.0,Manchester City,England
24.0,A. Laporte,CB,85,61.0,50.0,73.0,69.0,86.0,78.0,Al Nassr,Spain
24.0,A. Onana,GK,85,,,,,,,Manchester United,Cameroon
24.0,K. Trippier,RB,85,68.0,65.0,86.0,79.0,82.0,72.0,Newcastle United,England
24.0,K. Trapp,GK,85,,,,,,,Eintracht Frankfurt,Germany
24.0,C. Immobile,ST,85,85.0,87.0,68.0,78.0,39.0,74.0,Lazio,Italy
24.0,Iago Aspas,ST,85,81.0,85.0,79.0,86.0,35.0,64.0,Celta de Vigo,Spain
24.0,K. Navas,GK,85,,,,,,,Paris Saint Germain,Costa Rica
